idle anthropic_baseline anthropic_keepalive deepseek_baseline deepseek_keepalive google_baseline google_keepalive openai_baseline openai_keepalive
0 0.026702 0.026702 0.010846 0.010846 0.027257 0.027257 0.010618 0.010618
60 0.026697 0.026698 0.010846 0.010844 0.027258 0.027259 0.010618 0.010619
300 0.026697 0.026698 0.010842 0.010842 0.027259 0.027242 0.010618 0.010619
600 0.333437 0.026698 0.021666 0.010842 0.027259 0.027242 0.010618 0.010619
