idle anthropic_baseline anthropic_keepalive deepseek_baseline deepseek_keepalive google_baseline google_keepalive openai_baseline openai_keepalive
0 100.0 100.0 95.8 95.8 77.8 77.8 100.0 100.0
60 100.0 100.0 83.3 83.3 100.0 85.7 100.0 100.0
300 100.0 100.0 69.6 100.0 58.3 100.0 91.7 95.2
600 0.0 100.0 12.5 100.0 91.7 100.0 83.3 100.0
