idle anthropic_baseline anthropic_keepalive deepseek_baseline deepseek_keepalive google_baseline google_keepalive openai_baseline openai_keepalive
0 0.010699 0.010699 0.004341 0.004341 0.010946 0.010946 0.004409 0.004409
60 0.010699 0.010699 0.004341 0.004341 0.010947 0.010948 0.004409 0.004410
300 0.010699 0.010699 0.004341 0.004341 0.010948 0.010949 0.004409 0.004410
600 0.133457 0.010699 0.008667 0.004341 0.010948 0.010949 0.004409 0.004410
