idle anthropic_baseline anthropic_keepalive deepseek_baseline deepseek_keepalive google_baseline google_keepalive openai_baseline openai_keepalive
0 1361.48 1361.48 1562.31 1562.31 2879.89 2879.89 1076.08 1076.08
60 1420.79 1443.48 1674.12 1491.62 3064.05 4564.11 1093.77 1007.69
300 1559.19 1374.31 1545.65 1443.42 4547.68 2045.28 1205.04 1001.66
600 2284.78 1403.75 5397.62 1387.71 3952.33 1782.95 1134.87 1051.48
